NL;FOL;LLM_FOL;BLEU;LE
If a vehicle can travel on both land and water, it is an amphibious vehicle.;∀x (Vehicle(x) ∧ CanTravelOnLand(x) ∧ CanTravelOnWater(x) → AmphibiousVehicle(x));∀x (Amphibious(x) ↔ (CanTravelOnLand(x) ∧ CanTravelOnWater(x)));0.5273003338491723;0.5625
A tool with a long handle, a flat blade, and is used for lifting and moving loose material is a shovel.;∀x ∀y ∀z (Tool(x) ∧ LongHandle(y) ∧ FlatBlade(z) ∧ Has(x, y) ∧ Has(x, z) ∧ LiftsAndMovesLooseMaterial(x) → Shovel(x));∀x (Tool(x) ∧ HasLongHandle(x) ∧ HasFlatBlade(x) ∧ UsedForLifting(x) ∧ UsedForMoving(x) ∧ UsedForMaterial(x) → Shovel(x));0.34953231818051234;1.0
A camera can capture photos or record videos.;∀x (Camera(x) → (CapturePhotos(x) ∨ RecordVideos(x)));∀x (Camera(x) → (Capture_Photos(x) ∨ Record_Videos(x)));0.7076534431960262;1.0
A balanced diet that includes a variety of fruits, vegetables, and lean proteins can provide essential nutrients and promote overall health and wellness.;∀x∀y∀z (BalancedDiet(x) ∧ VarietyOfFruits(y) ∧ Vegetables(z) ∧ LeanProteins(x) ∧ IncludesElements(x, y, z) → ProvidesEssentialNutrients(x) ∧ PromotesOverallHealthAndWellness(x));∀x (balanced_diet(x) ∧ includes(x, fruits) ∧ includes(x, vegetables) ∧ includes(x, lean_proteins) → provides(x, essential_nutrients) ∧ promotes(x, overall_health) ∧ promotes(x, wellness));0.1270469747619846;0.75
A vehicle that is designed for traveling on snow, equipped with skis or tracks, and powered by an engine is a snowmobile.;∀x (Vehicle(x) ∧ DesignedForTravelingOnSnow(x) ∧ (EquippedWithSkis(x) ∨ EquippedWithTracks(x)) ∧ PoweredByEngine(x) → Snowmobile(x));∀x (Snowmobile(x) ↔ (DesignedForSnow(x) ∧ EquippedWithSkisOrTracks(x) ∧ PoweredByEngine(x)));0.38018457060568134;0.546875
A sports event could be played indoors or outdoors, not both.;∀x (SportsEvent(x) → (IndoorEvent(x) ⊕ OutdoorEvent(x)));∀x (SportsEvent(x) → (Indoors(x) ∨ Outdoors(x)) ∧ ¬(Indoors(x) ∧ Outdoors(x)));0.3821450079029394;0.875
A product is eco-friendly if it is made from sustainable materials, has a low carbon footprint, or encourages conservation of resources.;∀x (Product(x) ∧ (SustainableMaterials(x) ∨ LowCarbonFootprint(x) ∨ EncouragesConservation(x)) → EcoFriendly(x));∀x (EcoFriendly(x) ↔ (∃y (MadeFromSustainableMaterials(x, y) ∧ LowCarbonFootprint(x) ∧ EncouragesConservationOfResources(x))) );0.34177612227913773;0.71875
A tsunami can be triggered by underwater earthquakes, volcanic eruptions, or landslides, causing a series of massive waves that devastate coastal areas.;∀x (Tsunami(x) → ∃y (UnderwaterEarthquake(y) ∨ VolcanicEruption(y) ∨ Landslide(y)) ∧ Triggers(x, y) ∧ CausesMassiveWaves(x) ∧ DevastatesCoastalAreas(x));"∀x (tsunami(x) → (∃y (underwaterEarthquake(y) ∧ causes(x, y)) ∨ ∃z (volcanicEruption(z) ∧ causes(x, z)) ∨ ∃w (landslide(w) ∧ causes(x, w)))) ∧
∀x (tsunami(x) → ∃y (massiveWave(y) ∧ partOfSeries(y, x) ∧ devastatesCoastalArea(y)))";0.30668174352018285;0.0
A device that uses electricity and emits light is a light-emitting device.;∀x (Device(x) ∧ UsesElectricity(x) ∧ EmitsLight(x) → LightEmittingDevice(x));∀x (Device(x) ∧ UsesElectricity(x) ∧ EmitsLight(x) → LightEmittingDevice(x));1.0;1.0
If a person works in the news industry and reports on events, they are considered a journalist.;∀x (WorksInNewsIndustryAndReportsOnEvents(x) → Journalist(x));∀x (works_in_news_industry(x) ∧ reports_on_events(x) → journalist(x));0.5292031904718658;0.875
All triangles with equal sides have equal angles.;∀x (Triangle(x) ∧ EqualSides(x) → EqualAngles(x));∀x (Triangle(x) ∧ EqualSides(x) → EqualAngles(x));1.0;1.0
Some bicycles are lightweight, durable, and suitable for off-road use.;∃x (Bicycle(x) ∧ Lightweight(x) ∧ Durable(x) ∧ OffRoadSuitable(x));∃x (Bicycle(x) ∧ Lightweight(x) ∧ Durable(x) ∧ OffRoadSuitable(x));1.0;1.0
A bird flies if it has wings.;∀x (Bird(x) ∧ HasWings(x) → Flies(x));∀x (Bird(x) → HasWings(x) ∧ Flies(x));0.7938047857077988;0.5
A garment that is worn on the lower part of the body, has separate openings for each leg, and is made of fabric is a pair of pants or a skirt.;∀x (Garment(x) ∧ WornOnLowerPartOfBody(x) ∧ SeparateOpeningsForEachLeg(x) ∧ MadeOfFabric(x) → (Pants(x) ∨ Skirt(x)));∀x (Garment(x) ∧ LowerBody(x) ∧ SeparateOpenings(x) ∧ MadeOfFabric(x) → (Pants(x) ∨ Skirt(x)));0.8452785147119855;1.0
A polygon with three sides and three angles is a triangle.;∀x (Polygon(x) ∧ Sides(x, 3) ∧ Angles(x, 3) → Triangle(x));∀x (Polygon(x) ∧ NumberSides(x) = 3 ∧ NumberAngles(x) = 3 → Triangle(x));0.49729532217229977;0.0
A sport that is played between two teams on a field with a ball and the objective is to score points by getting the ball into the opposing team's goal is a goal-based sport.;∀x (Sport(x) ∧ PlayedBetweenTwoTeams(x) ∧ PlayedOnField(x) ∧ PlayedWithBall(x) ∧ ObjectiveToScorePointsByGettingBallIntoOpposingTeamsGoal(x) → GoalBasedSport(x));∀x (GoalBasedSport(x) ↔ TeamSport(x) ∧ PlayedOnField(x) ∧ UsesBall(x) ∧ Objective(x) = ScorePoints(x) ∧ ScoringMethod(x) = GetBallIntoOpposingTeamGoal(x));0.4271051175974257;0.0
An orchestra performs a concert with musicians playing various instruments.;∀x ∀y ∀z (Orchestra(x) ∧ Concert(y) ∧ Instrument(z) → (Performs(x, y) ∧ ∃w (Musician(w) ∧ Plays(w, z))));∀x (Orchestra(x) → ∃y (Concert(y) ∧ Performs(x, y) ∧ ∃z (Musician(z) ∧ Plays(z, y) ∧ Instrument(w) ∧ Plays(z, w))));0.5211169963794925;0.6171875
A detective solves crimes by gathering evidence and analyzing clues.;∀x (Detective(x) → (∃y (Crime(y) ∧ Solves(x, y) ∧ GathersEvidence(x) ∧ AnalyzesClues(x))));∀x (Detective(x) → (∃y (GatherEvidence(x, y) ∧ AnalyzeClues(x, y))) ∧ SolveCrimes(x));0.5744236934539847;0.71875
Some paintings are abstract and created by famous artists.;∃x (Painting(x) ∧ Abstract(x) ∧ CreatedByFamousArtist(x));∃x (Painting(x) ∧ Abstract(x) ∧ CreatedByFamousArtist(x));1.0;1.0
An instrument is either a string instrument or a wind instrument, but not both.;∀x (Instrument(x) → ((StringInstrument(x) ∨ WindInstrument(x)) ∧ ¬(StringInstrument(x) ∧ WindInstrument(x))));∀x (Instrument(x) → (StringInstrument(x) ∨ WindInstrument(x)) ∧ ¬(StringInstrument(x) ∧ WindInstrument(x)));0.9175467614596874;0.875
Mammals give birth to live young and nurse their offspring with milk produced by the mother.;∀x (Mammal(x) → (GivesBirthToLiveYoung(x) ∧ NursesOffspringWithMilk(x)));∀x (Mammal(x) → (GiveBirthToLiveYoung(x) ∧ NurseOffspring(x, MilkProducedByMother(x))));0.5567002779032734;0.0
A vaccine that is effective provides immunity, reduces the risk of infection, and often contributes to herd immunity in a population.;∀x (Vaccine(x) ∧ Effective(x) → ProvidesImmunity(x) ∧ ReducesRiskOfInfection(x) ∧ OftenContributesToHerdImmunityInPopulation(x));∀x (Effective(x) → ProvidesImmunity(x) ∧ ReducesRiskOfInfection(x) ∧ OftenContributesToHerdImmunity(x));0.6434993439607255;0.96875
A satellite orbits Earth, transmitting and receiving data, enabling services such as weather forecasting, global positioning, and communication.;∀x ∀y (Satellite(x) ∧ (OrbitsEarth(x) ∧ TransmitsAndReceivesData(x, y)) ∧ (EnablesWeatherForecasting(y) ∨ EnablesGlobalPositioning(y) ∨ EnablesCommunication(y)));∀x (Satellite(x) → (Orbits(x, Earth) ∧ Transmits(x) ∧ Receives(x) ∧ Enables(x, WeatherForecasting) ∧ Enables(x, GlobalPositioning) ∧ Enables(x, Communication)));0.22765733685191844;0.5078125
A flower blooms in spring if it requires a specific amount of sunlight and warmth for its growth and development.;∀x (BloomsInSpring(x) ↔ (Flower(x) ∧ RequiresSpecificSunlight(x) ∧ RequiresWarmth(x)));∀x (Flower(x) ∧ RequiresSunlight(x, y) ∧ RequiresWarmth(x, z) → BloomsInSpring(x) ∧ y = specificAmount ∧ z = specificAmount);0.37273278975232754;0.0
A tree loses its leaves in the autumn, while an evergreen tree retains its leaves throughout the year.;∀x (Tree(x) → (LosesLeavesInAutumn(x) ∨ RetainsLeavesThroughoutYear(x))) ∧ ∀y (EvergreenTree(y) → RetainsLeavesThroughoutYear(y));∀x (Tree(x) → (Autumn → ¬Leaves(x)) ∧ (Evergreen(x) → ∀t (t ∈ Year → Leaves(x))));0.3934000485198065;0.0
A smartphone can be used for communication, entertainment, and productivity.;∀x (Smartphone(x) → (UsedForCommunication(x) ∧ UsedForEntertainment(x) ∧ UsedForProductivity(x)));∀x (Smartphone(x) → Communication(x) ∧ Entertainment(x) ∧ Productivity(x));0.5652500552583395;0.625
When a bird migrates, it travels long distances, often across continents, and usually follows a seasonal pattern to find resources.;∀x (Bird(x) ∧ Migrates(x) → TravelsLongDistances(x) ∧ OftenCrossesContinents(x) ∧ UsuallyFollowsSeasonalPatternToFindResources(x));∀x (Bird(x) → (Migrates(x) → (TravelsLongDistances(x) ∧ OftenAcrossContinents(x) ∧ FollowsSeasonalPattern(x) ∧ FindsResources(x))));0.49620773637341964;0.421875
An electron can be found in either an orbital or a suborbital, but not in both simultaneously.;∀x (Electron(x) ∧ (Orbital(x) ⊕ Suborbital(x)));∀x (Electron(x) → (Orbital(x) ∨ Suborbital(x)) ∧ ¬(Orbital(x) ∧ Suborbital(x)));0.4478860307233996;0.625
A coat is appropriate for cold weather if it is made of wool, has a hood, and is insulated.;∀x (Coat(x) ∧ Wool(x) ∧ Hood(x) ∧ Insulated(x) → AppropriateForColdWeather(x));∀x (Appropriate_for_Cold_Weather(x) ↔ (Made_of_Wool(x) ∧ Has_Hood(x) ∧ Insulated(x)));0.4715302292831316;0.53125
A type of music that originated in African American communities, features improvisation, and uses syncopation is called jazz.;∀x (MusicType(x) ∧ OriginatedInAfricanAmericanCommunities(x) ∧ FeaturesImprovisation(x) ∧ UsesSyncopation(x) → Jazz(x));originated_in(African_American_communities, jazz) ∧ features_improvisation(jazz) ∧ uses_syncopation(jazz) → is_called(jazz, jazz);0.0;0.96875
A country has a coastline if it is bordered by an ocean or a sea.;∀x (Country(x) ∧ (BorderedByOcean(x) ∨ BorderedBySea(x)) → HasCoastline(x));∀x (Country(x) → (∃y (Ocean(y) ∧ Border(x, y)) ∨ ∃z (Sea(z) ∧ Border(x, z))));0.21232871151441488;0.78125
A prism disperses white light into a spectrum of colors.;∀x∀y (Prism(x) ∧ WhiteLight(y) → DispersesIntoSpectrumOfColors(x, y));∀x (Prism(x) → ∃y (WhiteLight(y) ∧ Disperses(x, y, SpectrumOfColors)));0.3911620494702815;0.75
A book becomes a bestseller when it has a high sales volume and positive reviews.;∀x (Book(x) ∧ HighSalesVolume(x) ∧ PositiveReviews(x) → Bestseller(x));∀x (Book(x) → (∃y (SalesVolume(y) ∧ High(y) ∧ Reviews(x, y) ∧ Positive(y)) → Bestseller(x)));0.33248043907351194;0.953125
Farmers grow crops, while miners extract minerals.;∀x (Farmer(x) → GrowsCrops(x)) ∧ ∀y (Miner(y) → ExtractsMinerals(y));∀x (Farmer(x) → GrowCrops(x)) ∧ ∀y (Miner(y) → ExtractMinerals(y));0.7937559205024689;1.0
If an individual participates in community events, they are more likely to have a strong sense of belonging and connection with their community.;∀x (ParticipatesInCommunityEvents(x) → (StrongSenseOfBelonging(x) ∧ ConnectionWithCommunity(x)));∀x (ParticipatesInCommunityEvents(x) → LikelyToHaveStrongSenseOfBelongingAndConnection(x));0.44424794252656474;0.875
Winter is cold, and summer is hot.;∀x (Winter(x) → Cold(x)) ∧ ∀y (Summer(y) → Hot(y));∀x (winter(x) → cold(x)) ∧ ∀y (summer(y) → hot(y));1.0;1.0
A beverage that contains caffeine, is served hot, and is made from roasted seeds is coffee.;∀x∀y (Beverage(x) ∧ ContainsCaffeine(x) ∧ ServedHot(x) ∧ RoastedSeeds(y) ∧ MadeFrom(x, y) → Coffee(x));caffeine(X) ∧ hot(X) ∧ roasted_seeds(Y) ∧ made_from(Y, X) → coffee(X);0.09962589259519092;0.984375
A planet with an atmosphere containing oxygen can support human life.;∀x (Planet(x) ∧ AtmosphereContainsOxygen(x) → SupportsHumanLife(x));∀x (Planet(x) ∧ Atmosphere(x, Oxygen) → SupportHumanLife(x));0.5305903666964891;1.0
A building with proper insulation, energy-efficient windows, and solar panels is considered energy efficient.;∀x (Building(x) ∧ ProperInsulation(x) ∧ EnergyEfficientWindows(x) ∧ SolarPanels(x) → EnergyEfficient(x));∀x (Building(x) ∧ ProperInsulation(x) ∧ EnergyEfficientWindows(x) ∧ SolarPanels(x) → EnergyEfficient(x));1.0;1.0
A river flows from its source, often in the mountains, through various landscapes until it reaches a larger body of water, such as an ocean or lake.;∀x (River(x) ↔ (∃y (Source(x, y) ∧ Mountains(y)) ∧ FlowsThroughVariousLandscapes(x) ∧ ReachesLargerBodyOfWater(x)));∀x (River(x) → (∃y (Source(y) ∧ Flow(x, y)) ∧ (∃z (Landscape(z) ∧ Through(x, z)) ∧ (∃w (BodyOfWater(w) ∧ Reach(x, w)))));0.32280812289743216;0.0
A dessert is frozen if it requires refrigeration, is served cold, and isn't a baked good.;∀x (Dessert(x) ∧ Frozen(x) ↔ (RequiresRefrigeration(x) ∧ ServedCold(x) ∧ ¬BakedGood(x)));∀x (Dessert(x) ∧ RequiresRefrigeration(x) ∧ ServedCold(x) ∧ ¬BakedGood(x) → Frozen(x));0.7900306700739731;0.71875
A clock measures time, and a scale measures weight.;∀x∀y (Clock(x) ∧ Scale(y) → (Measures(x, Time) ∧ Measures(y, Weight)));∀x (Clock(x) → MeasuresTime(x)) ∧ ∀y (Scale(y) → MeasuresWeight(y));0.34467540935576085;0.75
A company that produces electronics and has a global presence is an international electronics manufacturer.;∀x (Company(x) ∧ ProducesElectronics(x) ∧ GlobalPresence(x) → InternationalElectronicsManufacturer(x));∀x (ProducesElectronics(x) ∧ HasGlobalPresence(x) → InternationalElectronicsManufacturer(x));0.5535341048255852;0.9375
A building has either an elevator or stairs, but not both.;∀x (Building(x) → ((HasElevator(x) ⊕ HasStairs(x))));∀x (Building(x) → (∃y (Elevator(y) ∧ Has(x, y)) ∨ ∃z (Stairs(z) ∧ Has(x, z))) ∧ ¬(∃y (Elevator(y) ∧ Has(x, y)) ∧ ∃z (Stairs(z) ∧ Has(x, z))));0.14794832427906587;0.0
A computer requires an input device, such as a keyboard or a mouse, and an output device, like a monitor or speakers.;∀x (Computer(x) → (∃y (InputDevice(y) ∧ (Keyboard(y) ∨ Mouse(y))) ∧ ∃z (OutputDevice(z) ∧ (Monitor(z) ∨ Speakers(z)))));∀x (Computer(x) → (∃y (InputDevice(y) ∧ Keyboard(y) ∨ Mouse(y)) ∧ ∃z (OutputDevice(z) ∧ Monitor(z) ∨ Speakers(z))));0.8528115872342431;0.875
Trees absorb carbon dioxide, while cars emit carbon dioxide, and factories release carbon dioxide as a byproduct.;∀x ∀y ∀z (Tree(x) ∧ Car(y) ∧ Factory(z) → (AbsorbsCO2(x) ∧ EmitsCO2(y) ∧ ReleasesCO2Byproduct(z)));∀x (Tree(x) → AbsorbsCarbonDioxide(x)) ∧ ∀y (Car(y) → EmitsCarbonDioxide(y)) ∧ ∀z (Factory(z) → ReleasesCarbonDioxide(z));0.40640156264871174;0.53125
A person who designs and creates video games is called a game developer.;∀x (DesignsAndCreatesVideoGames(x) → GameDeveloper(x));∀x (GameDeveloper(x) ↔ (DesignsVideoGames(x) ∧ CreatesVideoGames(x)));0.29494729140780945;0.75
An apple is red or green, but not both.;∀x (Apple(x) → (Red(x) ⊕ Green(x)));∀x (Apple(x) → (Red(x) ∨ Green(x)) ∧ ¬(Red(x) ∧ Green(x)));0.5032370023805727;0.875
Organisms that can produce their own food through photosynthesis, provide energy for other organisms, and do not consume other organisms are primary producers.;∀x (Organism(x) ∧ CanProduceOwnFoodThroughPhotosynthesis(x) ∧ ProvidesEnergyForOtherOrganisms(x) ∧ ¬ConsumesOtherOrganisms(x) → PrimaryProducer(x));∀x (PrimaryProducer(x) ↔ (Photosynthetic(x) ∧ ProvidesEnergy(x) ∧ ¬ConsumesOrganisms(x)));0.4126168656341065;0.53125
A device that converts thermal energy into electrical energy by using a temperature difference is a thermoelectric generator.;∀x ∀y (Device(x) ∧ ThermalEnergy(y) ∧ UsesTemperatureDifference(x, y) → ThermoelectricGenerator(x));∀x (ThermoelectricGenerator(x) → (ConvertsThermalEnergy(x, ElectricalEnergy) ∧ UsesTemperatureDifference(x)));0.37172446680896876;0.6875
A dessert that is made from milk, sugar, and flavorings and is frozen is ice cream.;∀x (Dessert(x) ∧ MadeFromMilk(x) ∧ Sugar(x) ∧ Flavorings(x) ∧ Frozen(x) → IceCream(x));∀x (Dessert(x) ∧ MadeFrom(x, milk, sugar, flavorings) ∧ Frozen(x) → IceCream(x));0.5667966082666697;0.953125
Birds migrate when the season changes and the temperature becomes unsuitable for their survival.;∀x ∀y (Bird(x) ∧ SeasonChange(y) ∧ UnsuitableTemperatureForSurvival(x, y) → Migrates(x));∀x (Bird(x) → (SeasonChange ∧ UnsuitableTemperature(x) → Migrate(x)));0.2843816244134326;0.0
A food product is labeled organic if it is produced without synthetic pesticides and meets certain regulatory standards.;∀x (FoodProduct(x) ∧ ProducedWithoutSynthetics(x) ∧ MeetsRegulatoryStandards(x) → LabeledOrganic(x));organic(X) ∧ ¬synthetic_pesticides(X) ∧ regulatory_standards(X) → labeled_organic(X);0.0;0.875
An electronic device that displays the time, receives radio signals for accurate timekeeping, and is powered by a battery is a radio-controlled clock.;∀x (ElectronicDevice(x) ∧ DisplaysTime(x) ∧ ReceivesRadioSignals(x) ∧ BatteryPowered(x) → RadioControlledClock(x));∀x (ElectronicDevice(x) ∧ DisplaysTime(x) ∧ ReceivesRadioSignals(x) ∧ PoweredByBattery(x) → RadioControlledClock(x));0.9025139799587886;1.0
When a cell phone battery is depleted, it needs to be recharged.;∀x (CellPhone(x) ∧ BatteryDepleted(x) → NeedsRecharge(x));∀x (Depleted(x) → NeedsRecharge(x));0.5181314577632983;0.875
A healthy diet consisting of a variety of fruits, vegetables, whole grains, and lean proteins promotes overall well-being and reduces the risk of chronic diseases.;∀x (HealthyDiet(x) ∧ ContainsVarietyOfFruitsVegetablesWholeGrainsLeanProteins(x) → PromotesWellBeingAndReducesRiskOfChronicDiseases(x));∀x (HealthyDiet(x) → (VarietyFruits(x) ∧ VarietyVegetables(x) ∧ WholeGrains(x) ∧ LeanProteins(x) ∧ PromotesWellBeing(x) ∧ ReducesChronicDiseasesRisk(x)));0.28543870606762245;0.6328125
A fruit is ripe if it is ready to be eaten and has reached its full flavor.;∀x (RipeFruit(x) ↔ (Fruit(x) ∧ ReadyToBeEaten(x) ∧ FullFlavor(x)));∀x (Fruit(x) → (ReadyToEat(x) ∧ FullFlavor(x)) → Ripe(x));0.5796414317069918;0.5625
A book is a bestseller if it has sold over one million copies.;∀x (Book(x) ∧ SoldOverOneMillionCopies(x) → Bestseller(x));∀x (Book(x) ∧ SoldCopies(x, y) > 1,000,000 → Bestseller(x));0.4711481135595004;0.0
A place is considered a theater if it is a venue for live stage performances, often with a stage, curtains, and audience seating, and hosting plays, musicals, or other productions.;∀x (Place(x) ∧ VenueForLiveStagePerformances(x) ∧ OftenWithStageCurtainsAndAudienceSeating(x) ∧ HostsPlaysMusicalsOrOtherProductions(x) → Theater(x));∀x (Place(x) ∧ (Exists(y) (VenueForLiveStagePerformances(y, x)) ∧ Stage(x) ∧ Curtains(x) ∧ AudienceSeating(x) ∧ Hosts(Plays, Musicals, Productions, x)) → Theater(x));0.33936448192817376;0.0
A beverage is classified as a soft drink if it does not contain alcohol and is typically carbonated.;∀x (Beverage(x) ∧ ¬ContainsAlcohol(x) ∧ TypicallyCarbonated(x) → SoftDrink(x));∀x (Beverage(x) ∧ ¬Alcohol(x) ∧ Carbonated(x) → SoftDrink(x));0.7641254083103469;1.0
A smartphone connects to the internet, makes calls, and sends messages.;∀x (Smartphone(x) → (ConnectsToInternet(x) ∧ MakesCalls(x) ∧ SendsMessages(x)));∀x (Smartphone(x) → (ConnectsToInternet(x) ∧ MakesCalls(x) ∧ SendsMessages(x)));1.0;1.0
A mountain forms from tectonic forces, has an elevation, and can be climbed.;∀x (Mountain(x) → (FormsFromTectonicForces(x) ∧ HasElevation(x) ∧ CanBeClimbed(x)));∀x (Mountain(x) → (TectonicForces(x) ∧ HasElevation(x) ∧ Climbable(x)));0.7749224723289705;1.0
An artistic expression that involves movement and is not a dance is either a theater performance or a circus act.;∀x (ArtisticExpression(x) ∧ InvolvesMovement(x) ∧ ¬Dance(x) → TheaterPerformance(x) ⊕ CircusAct(x));∀x (ArtisticExpression(x) ∧ Movement(x) ∧ ¬Dance(x) → (TheaterPerformance(x) ∨ CircusAct(x)));0.6957838925817523;0.53125
A bird can fly and not swim, or swim and not fly.;∀x (Bird(x) → ((CanFly(x) ∧ ¬CanSwim(x)) ∨ (CanSwim(x) ∧ ¬CanFly(x))));∀x (Bird(x) → (Fly(x) ∧ ¬Swim(x)) ∨ (Swim(x) ∧ ¬Fly(x)));0.6322265983158286;1.0
An object is buoyant if it floats on the surface of a liquid.;∀x ∀y (Object(x) ∧ Liquid(y) ∧ FloatsOnSurface(x, y) → Buoyant(x));∀x (Buoyant(x) ↔ FloatsOnSurface(x, Liquid));0.18272814424330824;0.5625
A bat is a mammal and can fly, while a turtle is a reptile and cannot fly.;∀x ∀y (Bat(x) ∧ Turtle(y) → ((Mammal(x) ∧ CanFly(x)) ∧ (Reptile(y) ∧ ¬CanFly(y))));∀x (Bat(x) → Mammal(x) ∧ CanFly(x)) ∧ ∀y (Turtle(y) → Reptile(y) ∧ ¬CanFly(y));0.6789365363862434;0.375
