index;text;Hermes-2-Pro-Mistral-7B.Q6_K;Hermes-2-Pro-Llama-3-8B-Q6_K
55;Not every university professor is happy;∃x (UniversityProfessor(x) ∧ ¬Happy(x));¬∀x (UniversityProfessor(x) → Happy(x)
56;No university professor is happy;∀x (UniversityProfessor(x) → ¬Happy(x));¬∃x (UniversityProfessor(x) ∧ Happy(x)
57;None of the university professors are happy;∀x (Happy(x) → ¬(Professor(x) ∧ University(x)));¬∃x (UniversityProfessor(x) ∧ Happy(x)
58;None of Joyce's books are easy to understand;∀x (Book(x) ∧ Author(x, Joyce) → DifficultToUnderstand(x));∀x (Joyce(x) → EasyToUnderstand(x) → ⊥
59;Everybody sleeps;∀x (Sleep(x));∀x, Sleeps(x
60;Nobody sleeps who is unhappy;\[∀x\ (Unhappy(x) → ¬Sleeps(x))\];∀x (Unhappy(x) → ¬Sleeps(x)
61;Please don't leave your belongings behind;∀x (Belongings(x) → ¬LeftBehind(x));Belonging(X) ∧ Location(X, Y) → Not(Location(Y, Behind)
62;Does John have any books by Tolkien?;∃ book : (has(John, book) ∧ author(book, Tolkien));book(john, x) ∧ author(x, tolkien) → has_books_by_tolkien(john
63;John doesn't have Tolkien's books;¬(John possesses Tolkien's books);¬(has(john, tolkien's_books)
64;Anyone who has a cat also likes dogs;∀x (hasCat(x) → likesDogs(x));∀x (Cat(x) ∧ Person(x) → Likes(x, Dog)
65;Anyone who has a cat also likes dogs who like cats;∀x (hasCat(x) → (likesDogs(x) ∧ likesCats(x))));∀x (Cat(x) ∧ Person(x) → (Likes(x, Dog(y)) ∧ Cat(y) → Likes(x, y))
66;Not all people who like to wash the dishes also like to clean the bathroom;¬∀x (Lx(washing dishes) → Lx(cleaning bathroom));∀x (Likes(x, WashingDishes) ∧ ¬Likes(x, CleaningBathroom)
67;If John doesn't study he will fail the exam;\(\forall x ((\neg Studies(x) \land Exam(x)) \rightarrow Fail(x))\);¬(Study(john) → ¬Fail(exam)
68;Everyone whose name is John is lucky;"∀x (name(x, ""John"") → lucky(x))";∀x (John(x) → Lucky(x)
69;Not all heroes wear capes;∃x (Hero(x) ∧ ¬Cape(x));¬(∀x (Hero(x) → Capes(x))
70;Everybody was not examined;¬∀x (Examined(x));∀x, ¬Examined(x
71;John would like to introduce his friend Jack;∃ x (John introduces x ∧ x = Jack);introduces(john, jack) :- likes(john, introduce(jack))
72;The quick brown fox jumps over the lazy dog;"∃x (Animal(x) ∧ Name(x, ""quick"") ∧ Color(x, ""brown"") ∧ Action(x, ""jumps"") ∧ Over(x, ""the lazy dog""))";∀x (quick(x) ∧ brown(x) ∧ fox(x) → jumps(x) over lazy(x) ∧ dog(x)
73;Jack is a friend of John;∃ x (Friend(Jack, x) ∧ Friend(x, John));Friend(jack, john
74;Joe Biden is the president of the United States of America;"∀x (President(x) ↔ (x = Joe_Biden ∧ Nation(x, ""United States of America"")))";president(joe_biden, united_states_of_america
75;Nobody ever wanted to become president;∀x, ¬(wanted(x, becomePresident));∀x, ¬Wanted(x, BecomePresident
76;No person would ever want to become president;∀x, ¬(Person(x) → (Wants(x, President));¬∃x (Person(x) ∧ Want(x, BecomePresident)
77;I don't like apples that taste bad;¬(likes(I, apple) ∧ bad(apple));¬(Likes(x, Apples) ∧ BadTaste(y) ∧ x = y
78;Untasty apples are not liked by anybody;\[∀x\ (Untasty(x) → ¬LikedBy(x, Anybody))\];¬(Tasty(Apples) ∧ Likes(Somebody, Apples)
79;I don't see any point in doing that;¬(exists x)(point(x) ∧ doing(x));¬(∃x, y, z, w, v, t, s, r, q, p, o, n, m, l, k, j, i, h, g, f, e, d, c, b, a) (Point(x, y, z, w, v, t, s, r, q, p, o, n, m, l, k, j, i, h, g, f, e, d, c, b, a) ∧ DoingThat(x, y, z, w, v, t, s, r, q, p, o, n, m, l, k, j, i, h, g, f, e, d, c, b, a)
80;Small children are usually very curious;∀x (SmallChild(x) → Curious(x, usually));curious(X) ∧ young(X) → small_child(X
81;Daunting tasks can be very rewarding when completed;(∃t task : Daunting(t) → (Complete(t) → Rewarding(t)));Rewards(X) ∧ DauntingTasks(Y) ∧ Completed(Y) → VeryRewarding(X
82;All people except Socrates are mortal;∀x ( (x is a person) ∧ (x ≠ Socrates) → (x is mortal) );∀x (Person(x) ∧ ¬Socrates(x) → Mortal(x)
83;Nobody here apart from John is patient;¬∀x (x = John → x is patient) ∧ ∀x (x = John → (x is patient ∧ x is here));∀x (Person(x) ∧ Location(x, here) → (x = John ∨ ¬Patient(x))
84;The times are changing rapidly and old people hate it;∀x (x is old → ¬x likes rapid change);hate(X) ∧ old(X) ∧ changing_rapidly(Times) → Times(X
85;Twenty kilograms of meat is a lot;∃ x (x = 20000 mg ∧ Meat(x) ∧ ∀ y (Meat(y) → (y ≤ x → Lot(y))));\forall x (x = 20 kg → Meat(x) ∧ Lot(x)
86;Ignorance is strength;∀x (Ignorant(x) → Strong(x));∀x (Ignorance(x) → Strength(x)
87;People dislike being told what to do by other people who are unqualified to do so;∀x, (Dislike(x) ↔ ∃y (Told(x, y) ∧ Unqualified(y)));∀x ∀y (Person(x) ∧ Person(y) ∧ Unqualified(y) → Dislike(x, BeingToldWhatToDoBy(y))
88;No amount of arguing is going to persuade John to get a cat;∀x (arguing(x) → ¬persuade(john, get-cat));∀x (Arguing(x) → ¬Persuade(John, GetCat)
89;John is a person who likes dogs;∃x (Person(x) ∧ Likes(x, Dog)) ∧ (x = John);Person(john) ∧ Likes(john, dogs
90;Dan makes mistakes;∃ mistake(m) ∧ maker(dan, mistake(m));∀x (Mistake(x) ∧ Cause(Dan, x)
91;What Josh dislikes is bats;∃ x (Josh(x) ∧ Dislikes(x, bats));dislikes(josh, bats
92;There are a lot of problems in the world;∃x (problems(x) ∧ ∃y (world(y) ∧ ∀z (problem(z, x) → existsIn(z, y))));∃x (Problem(x) ∧ World(x)
93;Josh's hobbies are painting and reading;"∃ h (Hobby(h) ∧ BelongsTo(h, Josh) ∧ (h = ""painting"" ∨ h = ""reading""))";hobby(josh, painting) ∧ hobby(josh, reading
94;Big round red balls are scary;∀x ( (Big(x) ∧ Round(x) ∧ Red(x)) → Scary(x) );Scary(X) :- Big(X), Round(X), Red(X), Ball(X
95;James does not understand first-order logic;¬(James understands first-order logic);¬Understands(james, first-order logic
96;Jane loves getting to know other people;∃x (Jane loves x and x is a person);loves(jane, getting_to_know_other_people
97;Using drugs is very dangerous;∀x (D(x) → Dangerous(x));Dangerous(X) ∧ Use(X, Drugs) → VeryDangerous(X
98;People who stay up late don't like people who go to bed early;∀x (LateStayers(x) → ¬EarlyBed(x));¬(LateNightPerson(x) ∧ EarlyBird(y)) → Dislike(x, y
99;Cats are not dogs;∀x (C(x) → ¬D(x));¬(Cat(x) ∧ Dog(x)
